fsa,further_set,d1_name,d2_name,flight_dest_1,flight_dest_2,flight_dest_3,flight_dest_4,flight_dest_5
A0A,A,St. John's NL,Gros Morne NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0B,A,St. John's NL,Gros Morne NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0C,A,St. John's NL,Gros Morne NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0E,A,Cape Breton (Cabot Trail) NS,Gros Morne NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0G,A,St. John's NL,Corner Brook NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0H,A,Cape Breton (Cabot Trail) NS,Îles de la Madeleine QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0J,A,Cape Breton (Cabot Trail) NS,Îles de la Madeleine QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0K,A,Gros Morne NL,Grand Falls-Windsor NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0L,A,Cape Breton (Cabot Trail) NS,Charlottetown PE,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0M,A,Cape Breton (Cabot Trail) NS,Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0N,A,Cape Breton (Cabot Trail) NS,Gaspé QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0P,A,Happy Valley-Goose Bay NL,Happy Valley-Goose Bay NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A0R,A,Happy Valley-Goose Bay NL,Sept-Îles QC,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
A1A,A,St. John's NL,Gros Morne NL,"Vancouver, Canada","San Francisco, United States","London, England","Paris, France","Tokyo, Japan"
