fsa,name_/_area,nearest_airport_city,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,co2e_set1_kg,co2e_set2_kg,cad1_cdg,cad1_lhr,cad1_nrt,cad1_set1,cad1_set2,cad2_cdg,cad2_lhr,cad2_nrt,cad2_set1,cad2_set2,cad3_cdg,cad3_lhr,cad3_nrt,cad3_set1,cad3_set2
A0A,Southeastern Avalon Peninsula (Ferryland),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0B,Western Avalon Peninsula (Argentia),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0C,Bonavista Peninsula (Bonavista),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0E,Burin Peninsula (Marystown),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0G,Northeast Newfoundland (Lewisporte),St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A0H,Central Newfoundland (Bishops Falls),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0J,Northern Newfoundland (Springdale),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0K,Northwest Newfoundland/Eastern Labrador (Mary's Harbour),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0L,Western Newfoundland (Lark Harbour),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0M,Southwestern Newfoundland (Channel-Port aux Basques),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0N,Port au Port Peninsula region (St. George's),Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A0P,Central Labrador (Happy Valley-Goose Bay),Hopedale,876.7,823.5,2208.6,873.3,859.3,26.0,24.0,65.0,26.0,25.0,230.0,220.0,590.0,230.0,230.0,930.0,880.0,2300.0,930.0,910.0
A0R,North/Western Labrador (Churchill Falls),Sept-Îles,934.6,971.1,1853.4,788.1,860.2,27.0,29.0,54.0,23.0,25.0,250.0,260.0,490.0,210.0,230.0,990.0,1000.0,2000.0,840.0,910.0
A1A,St. John's North,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1B,St. John's Northwest Newfoundland & Labrador Provincial Government,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1C,St. John's North Central,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1E,St. John's Central,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1G,St. John's South,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1H,St. John's Southwest,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1K,Torbay,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1L,Paradise,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1M,Portugal Cove-St. Philips,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1N,Mount Pearl,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1S,Goulds,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1V,Gander,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1W,Manuels,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1X,Conception Bay,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A1Y,Carbonear,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A2A,Grand Falls,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A2B,Windsor,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A2H,Corner Brook,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A2N,Stephenville,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
A2V,Labrador City,Sept-Îles,934.6,971.1,1853.4,788.1,860.2,27.0,29.0,54.0,23.0,25.0,250.0,260.0,490.0,210.0,230.0,990.0,1000.0,2000.0,840.0,910.0
A5A,Clarenville,St. John's,745.8,811.6,1878.9,1097.5,1241.7,22.0,24.0,55.0,32.0,37.0,200.0,220.0,500.0,290.0,330.0,790.0,860.0,2000.0,1200.0,1300.0
A8A,Deer Lake,Deer Lake,819.4,794.2,2548.2,854.3,1182.8,24.0,23.0,75.0,25.0,35.0,220.0,210.0,680.0,230.0,310.0,870.0,840.0,2700.0,910.0,1300.0
B0C,North Victoria County (Dingwall),Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B0E,West Cape Breton Island (Baddeck),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0H,Canso region (Havre Boucher),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0J,Mainland east shore (Lunenburg),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0K,Southern Northumberland Strait (Pictou),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0L,Isthmus of Chignecto (River Hébert),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0M,Cobequid Bay north shore (Springhill),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0N,Hants County (Shubenacadie),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0P,Kings County (Kingston),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0R,West Lunenburg County (New Germany),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0S,West Annapolis County (Middleton),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0T,Queens County (Shelburne),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0V,Digby Neck (Digby),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B0W,Southwest Mainland (Weymouth),Halifax,913.9,810.8,2657.0,774.9,917.6,27.0,24.0,78.0,23.0,27.0,240.0,220.0,710.0,210.0,240.0,970.0,860.0,2800.0,820.0,980.0
B1A,Glace Bay,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1B,Port Morien,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1C,Louisbourg,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1E,Reserve Mines,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1G,Dominion,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1H,New Waterford,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1J,East Bay,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1K,Marion Bridge,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1L,Sydney Southwest,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1M,Sydney East,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1N,Sydney North,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1P,Sydney North Central,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
B1R,Sydney West,Îles-de-la-Madeleine,853.5,969.2,2341.8,861.0,859.3,25.0,28.0,69.0,25.0,25.0,230.0,260.0,620.0,230.0,230.0,910.0,1000.0,2500.0,910.0,910.0
